gene_name,789,66,151,405,115,1754,492,709,637,794,276,250,12,R29425B,R34914A,Rou7776B,Rou6223B,R9288,14501,21868
DDX11L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WASH7P,24,12,7,50,23,52,57,35,12,17,64,11,104,13,27,102,36,46,34,17
MIR6859-1,15,5,0,24,20,13,15,4,9,4,14,20,37,15,24,38,19,22,18,12
MIR1302-2HG,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,1,0,0
MIR1302-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4G4P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4G11P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-34P13.7,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,4,2,0,0
RP11-34P13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CICP27,0,0,0,2,0,11,1,0,0,0,0,0,0,1,0,0,2,2,3,0
RP11-34P13.15,41,52,10,140,1,301,140,18,61,51,17,75,9,80,39,68,95,126,85,20
RP11-34P13.16,29,39,9,149,1,364,131,30,44,61,37,89,7,98,40,70,115,159,76,29
RP11-34P13.14,0,0,0,0,0,3,1,0,1,0,3,0,0,0,2,0,2,0,0,0
RP11-34P13.13,5,8,4,11,15,24,24,7,5,0,0,1,27,8,8,16,6,9,7,1
RNU6-1100P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-34P13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDX11L17,0,0,0,1,2,0,4,0,0,0,4,0,0,2,0,0,3,0,0,0
WASH9P,267,45,102,138,137,285,94,109,88,151,175,87,208,166,237,167,146,215,62,78
MIR6859-2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
AP006222.1,13,13,0,0,19,0,2,0,0,5,5,9,4,1,4,4,5,5,0,9
AP006222.3,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RPL23AP24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RP4-669L17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP4-669L17.4,27,23,0,81,20,149,54,4,27,17,9,50,15,32,27,35,59,75,28,15
WBP1LP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CICP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP4-669L17.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
U6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-206L10.17,22,4,4,19,21,7,12,8,18,7,12,14,17,12,27,11,13,37,16,11
RP5-857K21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND1P23,12,3,6,7,6,15,9,14,8,2,2,5,15,20,4,9,15,9,2472,11
MTND2P28,84,31,10323,50,42,108,61,49,65,32,40,62,74,68,55,66,83,55,35,43
MTCO1P12,1720,1548,1191,1160,1673,2311,1183,956,1415,998,1303,1064,2390,1378,1413,1280,13806,2261,1757,1106
ENSG00000278791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTCO2P12,0,0,3,0,3,4,6,0,7,4,2,2,4,4,4,1,7,3,2,0
MTATP8P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MTATP6P1,23219,13838,14485,12821,18098,27754,20234,12198,12868,14641,12139,17147,23593,16848,17526,14640,28799,23242,16041,13548
MTCO3P12,10,9,11,6,3,53,12,5,7,3,4,6,13,10,5,6,17,6,10,21
WBP1LP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CICP3,0,0,0,2,1,0,3,1,2,1,2,0,4,0,5,5,9,3,4,7
RP11-206L10.2,185,47,77,117,203,174,178,111,99,75,66,89,217,56,137,157,117,275,139,141
RNU6-1199P,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
RP11-206L10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01409,123,41,64,189,182,231,156,184,218,99,54,76,131,74,199,97,321,358,178,128
RP11-206L10.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-206L10.8,3,1,8,29,33,8,10,9,7,10,16,13,26,5,14,10,20,28,21,1
FAM87B,10,7,2,16,7,29,19,6,25,2,5,6,17,5,20,7,17,53,9,3
LINC01128,892,315,341,491,553,569,577,405,393,548,338,402,579,412,567,442,1224,855,625,597
LINC00115,167,24,11,119,94,37,63,66,152,36,42,19,101,88,401,85,150,139,82,26
RP11-206L10.19,0,6,2,0,0,2,2,0,2,0,0,0,0,0,10,0,0,0,6,0
FAM41C,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
TUBB8P11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM166AP3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
RP11-54O7.16,0,0,2,0,3,3,0,2,0,0,6,0,5,0,4,0,0,0,0,0
RP11-54O7.1,7,0,6,2,2,30,4,0,8,0,12,0,15,8,0,6,2,16,9,4
RP11-54O7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02593,6,0,2,6,6,3,0,6,4,0,10,0,28,8,0,4,0,10,4,6
SAMD11,0,0,6,0,0,0,0,1,3,1,0,0,4,0,0,4,4,0,0,0
NOC2L,5406,1868,3155,2591,2999,3405,4822,2216,2069,2800,3147,3700,4024,2799,3476,2796,4576,4186,2614,2931
KLHL17,647,271,271,783,715,1052,525,559,793,598,593,324,1070,678,1125,590,746,860,576,498
PLEKHN1,26,34,47,80,47,81,46,47,93,102,108,27,155,107,68,100,73,50,20,44
PERM1,2,0,1,6,0,2,6,2,12,6,4,0,0,0,0,0,14,6,0,2
RP11-54O7.17,11,2,2,21,4,6,0,3,19,4,19,0,2,28,0,14,0,0,0,8
HES4,135,73,183,131,51,154,159,57,291,158,346,82,317,478,262,209,168,153,13,67
ISG15,11939,6425,24848,6307,3457,13612,6342,4088,5038,18839,15425,12178,6907,6873,3101,5801,3632,4739,3068,13206
RP11-54O7.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RP11-54O7.11,6,1,4,5,6,2,0,0,12,3,1,0,0,12,2,2,2,0,2,1
AGRN,7803,3922,3646,6316,7396,7571,4290,3417,6721,5016,5440,3193,8577,7507,7812,5200,4963,9918,3610,6232
RP11-54O7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-465B22.3,649,687,383,793,1635,1104,438,899,766,460,1063,229,870,1156,2016,801,1034,1130,518,549
RP11-54O7.18,31,25,40,91,98,63,71,55,96,55,56,28,71,91,125,60,74,142,63,73
